Price,Close,High,Low,Open,Volume
Ticker,0700.HK,0700.HK,0700.HK,0700.HK,0700.HK
Date,,,,,
2023-04-28,336.1048278808594,346.2543291017871,335.5192734333462,339.6181247834018,15394102
2023-05-02,337.4710998535156,345.86396746760573,333.9578327531146,343.52177947315965,8648798
2023-05-03,331.2252502441406,334.73854707372476,328.10234289314917,331.420444983437,10551544
2023-05-04,329.663818359375,335.32413882090515,324.97944192038506,332.39639610090165,17579228
2023-05-05,334.54339599609375,338.64224779597737,330.0542142317465,335.1289505078685,14814925
2023-05-08,332.591552734375,339.22778726939754,329.4686451142511,335.71449013703716,10715881
2023-05-09,320.4902038574219,331.0300946440889,320.29503889514484,330.054180485094,23541440
2023-05-10,321.66131591796875,323.4179495083843,317.56246449694993,319.1239331231732,15572919
2023-05-11,318.5383605957031,325.56495412383947,315.41545330294764,324.589040010628,17571687
2023-05-12,320.2950439453125,326.34569395696104,319.1239350230388,323.80831114705944,17991214
2023-05-15,332.7867126464844,336.10481467530883,317.1720868331596,317.1720868331596,23740493
2023-05-16,336.4952087402344,339.61814613495034,334.54338031417143,339.61814613495034,14121222
2023-05-17,334.54339599609375,341.37479580754,332.9819570080806,337.6663335371993,19562717
2023-05-18,331.6156005859375,334.7385376313724,321.46609986207636,332.9819041573996,34412000
2023-05-19,327.4876403808594,330.04304205700777,323.3596330673517,327.2910571775931,22685856
2023-05-22,334.3676452636719,338.49562273945855,322.57337248533264,326.111630323325,20042131
2023-05-23,329.84649658203125,339.6750570880847,328.27392090218547,339.2819206667198,15019611
2023-05-24,326.70135498046875,331.0259157334238,324.93222603429217,325.52194568114675,13547979
2023-05-25,316.872802734375,324.9322348053705,312.9413783084041,324.1459319235435,26028377
2023-05-29,307.83050537109375,321.5904891106428,305.86479340830107,321.5904891106428,28838839
2023-05-30,310.77911376953125,312.74482598820157,302.3265452303713,306.4545228929461,21736553
2023-05-31,305.2751159667969,309.20654043515384,300.7539718293087,309.20654043515384,32131907
2023-06-01,309.9927978515625,317.85564639564467,305.8648203625515,307.2408128588885,22951704
2023-06-02,328.4704895019531,328.4704895019531,317.85562663085966,321.9836338575713,32055423
2023-06-05,332.40191650390625,332.99160611781167,324.3424851774991,330.2396212716355,19890895
2023-06-06,325.5219421386719,333.38479069280027,323.3596467885318,332.2053514119263,16700158
2023-06-07,329.84649658203125,334.17105720581753,328.8636405314259,334.17105720581753,18254900
2023-06-08,329.0601806640625,329.45334706418447,322.57335498344156,327.0944686409931,13133723
2023-06-09,330.2396240234375,334.1710481189546,328.0773287731489,330.63276043411213,16184167
2023-06-12,332.5984802246094,334.17105589830214,328.47050282485026,334.17105589830214,13488760
2023-06-13,338.8887634277344,342.42705130460416,332.2053541003926,333.77792982282216,23119808
2023-06-14,339.6750793457031,347.3413450450116,338.1025035628124,340.6579354607113,22081967
2023-06-15,348.91387939453125,348.91387939453125,342.03388740647006,346.94816739794237,25008358
2023-06-16,356.7767639160156,358.15275645565714,349.7001880058767,352.84533952024685,35853943
2023-06-19,351.076171875,353.8281566512,344.39273314162443,353.43502025379775,20273905
2023-06-20,343.9996337890625,353.0419218749872,341.24764871650507,347.9310581752232,16283873
2023-06-21,334.5641784667969,340.06817809965673,331.2224740450414,335.7436176718329,19304438
2023-06-23,331.22247314453125,334.957313959683,327.2910491309463,334.17104115471994,13898721
2023-06-26,327.094482421875,333.58133837018005,324.5390806797308,329.8464973667489,18157220
2023-06-27,335.54705810546875,338.4956263313417,327.09448985908875,327.09448985908875,17490624
2023-06-28,330.43621826171875,335.1539153361445,328.0773397301194,334.17105927944027,15887756
2023-06-29,327.88079833984375,333.1882152385718,325.52194971756325,333.1882152385718,13517437
2023-06-30,325.9150695800781,328.07733487620476,323.7527742895654,325.3253499559032,16197039
2023-07-03,332.2053527832031,334.1710649298493,326.11163313084523,326.11163313084523,14198462
2023-07-04,333.3847961425781,335.3505083132433,330.4362278865803,330.63278110701435,9439642
2023-07-05,329.64990234375,335.153902041848,327.4876371014015,333.97446282283227,9861945
2023-07-06,321.1973571777344,331.222501261138,319.8213646550522,326.50480404211714,19781825
2023-07-07,321.00079345703125,325.9150737304261,314.5139374972727,317.65908887,21595356
2023-07-10,323.1630554199219,330.04304773112545,321.7870629565584,328.07733564221013,17287899
2023-07-11,328.07733154296875,329.846490397519,324.5390738226397,326.89792230098766,12361269
2023-07-12,334.17108154296875,335.153937665154,330.04307383203553,332.79508897078716,16847310
2023-07-13,343.80303955078125,344.5893423994397,341.0510545664436,343.9996227615426,27315463
2023-07-14,346.5550537109375,348.7173190522707,342.82018267600193,348.7173190522707,21213481
2023-07-18,330.6327819824219,345.76875973774185,329.25678945819055,345.76875973774185,29147987
2023-07-19,327.29107666015625,328.0773495312545,321.39394014375705,324.93222805247404,21913296
2023-07-20,327.094482421875,335.9401868983674,324.9322171020309,330.2396337890491,16564481
2023-07-21,327.29107666015625,331.6156374399715,325.3253644880232,327.094493445188,11843920
2023-07-24,319.42822265625,325.32535907451927,318.2487833748414,322.9665105060889,17451591
2023-07-25,339.0853576660156,339.67507733039935,329.25679657424706,331.22250879260076,29203653
2023-07-26,335.1539001464844,338.8887409949375,332.40191531019104,338.8887409949375,14941840
2023-07-27,337.9058837890625,340.4613154105274,334.5641793584015,340.0681790059294,13651548
2023-07-28,344.39276123046875,345.96533694272216,332.7950715920755,337.90590516391535,22244305
2023-07-31,348.32415771484375,356.77672524853443,344.7858701432541,353.8281572712738,36796567
2023-08-01,347.9310607910156,354.8110535185216,341.24765128205075,349.8967729988745,23436211
2023-08-02,337.5127868652344,346.3584919781552,334.3676652661623,345.5722190769843,21038298
2023-08-03,336.3333435058594,341.8373132463106,333.18819223041396,336.1367603032495,16661383
2023-08-04,337.5127868652344,344.58936295332643,333.3848091425044,342.62365070601066,19099499
2023-08-07,335.3504943847656,335.94018401596304,332.2053430445773,334.36763834025504,9480118
2023-08-08,329.0601806640625,331.41905908725386,327.68418824679094,328.66704425832563,15381749
2023-08-09,331.4190979003906,332.4019540270295,326.3082340441129,327.29109017075183,11917732
2023-08-10,333.9744567871094,335.7436155836601,329.8464795839273,331.419055182733,11185881
2023-08-11,330.0430603027344,335.7436435743603,328.8636510010922,332.9916285484207,12303930
2023-08-14,327.4876403808594,328.6670496173004,322.18019383652506,322.37677703979136,15754526
2023-08-15,326.8979187011719,329.25676715354405,324.93220665846417,325.52192627015353,10787439
2023-08-16,323.1630554199219,325.3253507154832,321.98364616320436,324.14591146437954,16484843
2023-08-17,327.094482421875,330.0430505807058,315.10365657259496,315.10365657259496,28817958
2023-08-18,319.42822265625,327.09448800224527,319.42822265625,323.7527833641034,18108794
2023-08-21,312.5482177734375,320.21448281540904,312.5482177734375,315.49678586563977,25696855
2023-08-22,313.5310974121094,319.03509759753183,309.0099533314271,312.7448245260725,24679965
2023-08-23,312.5482177734375,315.88992227905624,311.56536174270343,314.5139298349057,17244848
2023-08-24,319.62481689453125,322.3768019869082,315.4968092615779,315.4968092615779,22340826
2023-08-25,314.5139465332031,318.24878765053,314.5139465332031,317.06937834766285,12542511
2023-08-28,319.62481689453125,327.8808021660501,319.23165045757344,324.9322338551942,19402834
2023-08-29,323.7528076171875,326.3082395887483,319.8213830438291,319.8213830438291,15382479
2023-08-30,320.2144775390625,328.27390885603666,319.42820472518537,328.07732565537475,15190035
2023-08-31,319.42822265625,326.1116319325337,316.4796544471154,325.32535907451927,49737237
2023-09-04,327.6842041015625,328.86364337022457,322.769923806115,324.3424994995355,30748869
2023-09-05,323.3596496582031,329.2567861261339,321.78707393454414,326.3082178921685,13250752
2023-09-06,321.983642578125,323.3596350261677,317.6590820295398,323.3596350261677,16488562
