Price,Close,High,Low,Open,Volume
Ticker,BABA,BABA,BABA,BABA,BABA
Date,,,,,
2020-01-02,208.7144775390625,208.9139053771762,205.64695220643736,205.7039460799515,15873500
2020-01-03,206.0838165283203,207.22630240410257,205.1436132545173,205.4665205702207,8604500
2020-01-06,205.74192810058594,206.2357735674345,203.32020290667376,204.07996181924173,11885500
2020-01-07,206.68214416503906,207.9262423968381,205.7894284744116,206.69163589897454,9388000
2020-01-08,207.03350830078125,209.55019423364737,205.43802766965,205.70394110817188,11959100
2020-01-09,210.62335205078125,211.85795842621891,209.71165298268866,210.35743861498796,13122500
2020-01-10,212.5702362060547,214.59309121814218,210.89022839675087,212.6367073214513,12296000
2020-01-13,218.8856964111328,219.51249858005286,215.61874333927784,217.29970752276512,17544800
2020-01-14,215.096435546875,218.59605946240524,213.56742594770589,218.4773475820076,17266900
2020-01-15,213.7383575439453,216.35952505709415,213.102063623474,215.24836913840093,10743400
2020-01-16,212.67471313476562,214.94448373869665,211.52557574101135,214.91599404631566,13700500
2020-01-17,215.98912048339844,216.53045357310492,214.01376769428157,214.53608833582192,12956200
2020-01-21,211.07920837402344,211.40211569175455,209.62617616341896,211.25965274508602,15831100
2020-01-22,211.1836700439453,214.2321973344322,210.83228753523582,213.38696937396125,10059600
2020-01-23,208.10667419433594,209.05636921353528,205.8653933693776,206.96702857833992,18519900
2020-01-24,202.997314453125,208.7714620254019,200.69430108682104,207.49887415186353,18143900
2020-01-27,195.1338348388672,197.55556001229448,189.4641544706016,191.09763104688693,24574700
2020-01-28,199.6543731689453,200.30017329588105,196.7483088257232,199.1890318994253,16196700
2020-01-29,201.35433959960938,203.21573369971975,198.98010208024712,201.86716852766546,12871900
2020-01-30,198.08738708496094,199.3029955394485,194.71596689849488,197.4226034756624,14376000
2020-01-31,196.19749450683594,197.47008238041565,194.4291628090384,196.11202543126632,18181400
2020-02-03,202.38002014160156,204.2034328913611,198.17286355151546,198.17286355151546,14118800
2020-02-04,211.66802978515625,213.0925723090344,209.39825927675824,210.21499757009622,16695100
2020-02-05,209.14183044433594,215.29584988043058,206.5966403529071,215.12491173915913,15766100
2020-02-06,209.78761291503906,212.39927408052876,208.72395918664026,211.90544313016943,10790800
2020-02-07,205.63746643066406,206.88156461797413,204.07047540673236,206.52069035577196,13790300
2020-02-10,204.91571044921875,204.91571044921875,201.5252920747192,202.75989857081365,17420300
2020-02-11,206.28326416015625,208.9423986552951,204.4598369474951,208.8474378468665,16073500
2020-02-12,213.02609252929688,214.1752299061185,209.13235155223748,210.00606925183905,18671900
2020-02-13,209.27479553222656,213.68137985265116,207.97371798986202,208.93290474481446,28069700
2020-02-14,208.58151245117188,210.49039413825324,207.25193078855602,209.9775652267611,10690000
